Season,Player,Team,Pos,name,GSIS_ID,name_orig,name_pos,name_pos_team
2015,Antonio Brown,PIT,WR,Antonio Brown,00-0027793,A.Brown,"Antonio Brown, WR","Antonio Brown, WR, PIT"
2015,Arian Foster,HOU,RB,Arian Foster,00-0026796,A.Foster,"Arian Foster, RB","Arian Foster, RB, HOU"
2015,Austin Davis,CLE,QB,Austin Davis,00-0028957,A.Davis,"Austin Davis, QB","Austin Davis, QB, CLE"
2015,Austin Johnson,NO,FB,Austin Johnson,00-0029729,A.Johnson,"Austin Johnson, FB","Austin Johnson, FB, NO"
2015,Austin Seferian-Jenkins,TB,TE,Austin Seferian-Jenkins,00-0031418,A.Seferian-Jenkins,"Austin Seferian-Jenkins, TE","Austin Seferian-Jenkins, TE, TB"
2015,B.J. Daniels,HOU,QB,B.J. Daniels,00-0030120,B.Daniels,"B.J. Daniels, QB","B.J. Daniels, QB, HOU"
2015,Ben Edwards,NYG,WR,Ben Edwards,00-0032001,B.Edwards,"Ben Edwards, WR","Ben Edwards, WR, NYG"
2015,Ben Roethlisberger,PIT,QB,Ben Roethlisberger,00-0022924,B.Roethlisberger,"Ben Roethlisberger, QB","Ben Roethlisberger, QB, PIT"
2015,Benjamin Watson,NO,TE,Benjamin Watson,00-0022943,B.Watson,"Benjamin Watson, TE","Benjamin Watson, TE, NO"
2015,Bennie Fowler,DEN,WR,Bennie Fowler,00-0030670,B.Fowler,"Bennie Fowler, WR","Bennie Fowler, WR, DEN"
2015,Bilal Powell,NYJ,RB,Bilal Powell,00-0028064,B.Powell,"Bilal Powell, RB","Bilal Powell, RB, NYJ"
2015,Bishop Sankey,TEN,RB,Bishop Sankey,00-0031413,B.Sankey,"Bishop Sankey, RB","Bishop Sankey, RB, TEN"
2015,Blaine Gabbert,SF,QB,Blaine Gabbert,00-0027948,B.Gabbert,"Blaine Gabbert, QB","Blaine Gabbert, QB, SF"
2015,Blake Bell,SF,TE,Blake Bell,00-0032062,B.Bell,"Blake Bell, TE","Blake Bell, TE, SF"
2015,Bobby Rainey,TB,RB,Bobby Rainey,00-0029384,B.Rainey,"Bobby Rainey, RB","Bobby Rainey, RB, TB"
2015,Brandin Cooks,NO,WR,Brandin Cooks,00-0031236,B.Cooks,"Brandin Cooks, WR","Brandin Cooks, WR, NO"
2015,Brandon Bolden,NE,RB,Brandon Bolden,00-0029239,B.Bolden,"Brandon Bolden, RB","Brandon Bolden, RB, NE"
2015,Brandon Coleman,NO,WR,Brandon Coleman,00-0030801,B.Coleman,"Brandon Coleman, WR","Brandon Coleman, WR, NO"
2015,Brandon LaFell,NE,WR,Brandon LaFell,00-0027681,B.LaFell,"Brandon LaFell, WR","Brandon LaFell, WR, NE"
2015,Brandon Marshall,NYJ,WR,Brandon Marshall,00-0024334,B.Marshall,"Brandon Marshall, WR","Brandon Marshall, WR, NYJ"
2015,Brandon Myers,TB,TE,Brandon Myers,00-0027135,B.Myers,"Brandon Myers, TE","Brandon Myers, TE, TB"
2015,Brandon Pettigrew,DET,TE,Brandon Pettigrew,00-0026996,B.Pettigrew,"Brandon Pettigrew, TE","Brandon Pettigrew, TE, DET"
2015,Brandon Tate,CIN,WR,Brandon Tate,00-0027057,B.Tate,"Brandon Tate, WR","Brandon Tate, WR, CIN"
2015,Brandon Weeden,HOU,QB,Brandon Weeden,00-0029677,B.Weeden,"Brandon Weeden, QB","Brandon Weeden, QB, HOU"
2015,Brent Celek,PHI,TE,Brent Celek,00-0025549,B.Celek,"Brent Celek, TE","Brent Celek, TE, PHI"
2015,Brenton Bersin,CAR,WR,Brenton Bersin,00-0029394,B.Bersin,"Brenton Bersin, WR","Brenton Bersin, WR, CAR"
2015,Brian Hartline,CLE,WR,Brian Hartline,00-0027077,B.Hartline,"Brian Hartline, WR","Brian Hartline, WR, CLE"
2015,Brian Hoyer,HOU,QB,Brian Hoyer,00-0026625,B.Hoyer,"Brian Hoyer, QB","Brian Hoyer, QB, HOU"
2015,Brian Leonhardt,SF,TE,Brian Leonhardt,00-0029755,B.Leonhardt,"Brian Leonhardt, TE","Brian Leonhardt, TE, SF"
2015,Brian Parker,KC,TE,Brian Parker,00-0032089,B.Parker,"Brian Parker, TE","Brian Parker, TE, KC"
2015,Brice Butler,DAL,WR,Brice Butler,00-0030516,B.Butler,"Brice Butler, WR","Brice Butler, WR, DAL"
2015,Brittan Golden,ARI,WR,Brittan Golden,00-0029336,B.Golden,"Brittan Golden, WR","Brittan Golden, WR, ARI"
2015,Brock Osweiler,DEN,QB,Brock Osweiler,00-0029682,B.Osweiler,"Brock Osweiler, QB","Brock Osweiler, QB, DEN"
2015,Bruce Ellington,SF,WR,Bruce Ellington,00-0031326,B.Ellington,"Bruce Ellington, WR","Bruce Ellington, WR, SF"
2015,Bruce Miller,SF,FB,Bruce Miller,00-0028149,B.Miller,"Bruce Miller, FB","Bruce Miller, FB, SF"
2015,Bryce Brown,SEA,RB,Bryce Brown,00-0029429,B.Brown,"Bryce Brown, RB","Bryce Brown, RB, SEA"
2015,C.J. Anderson,DEN,RB,C.J. Anderson,00-0029854,C.Anderson,"C.J. Anderson, RB","C.J. Anderson, RB, DEN"
2015,C.J. Fiedorowicz,HOU,TE,C.J. Fiedorowicz,00-0031302,C.Fiedorowicz,"C.J. Fiedorowicz, TE","C.J. Fiedorowicz, TE, HOU"
2015,C.J. Spiller,NO,RB,C.J. Spiller,00-0027861,C.Spiller,"C.J. Spiller, RB","C.J. Spiller, RB, NO"
2015,C.J. Uzomah,CIN,TE,C.J. Uzomah,00-0032134,C.Uzomah,"C.J. Uzomah, TE","C.J. Uzomah, TE, CIN"
2015,Calvin Johnson,DET,WR,Calvin Johnson,00-0025389,C.Johnson,"Calvin Johnson, WR","Calvin Johnson, WR, DET"
2015,Cam Newton,CAR,QB,Cam Newton,00-0027939,C.Newton,"Cam Newton, QB","Cam Newton, QB, CAR"
2015,Cameron Artis-Payne,CAR,RB,Cameron Artis-Payne,00-0031599,C.Artis-Payne,"Cameron Artis-Payne, RB","Cameron Artis-Payne, RB, CAR"
2015,Cameron Brate,TB,TE,Cameron Brate,00-0031273,C.Brate,"Cameron Brate, TE","Cameron Brate, TE, TB"
2015,Cameron Meredith,CHI,WR,Cameron Meredith,00-0031912,C.Meredith,"Cameron Meredith, WR","Cameron Meredith, WR, CHI"
2015,Carlos Hyde,SF,RB,Carlos Hyde,00-0031045,C.Hyde,"Carlos Hyde, RB","Carlos Hyde, RB, SF"
2015,Carson Palmer,ARI,QB,Carson Palmer,00-0021429,C.Palmer,"Carson Palmer, QB","Carson Palmer, QB, ARI"
2015,Cecil Shorts,HOU,WR,Cecil Shorts,00-0028052,C.Shorts,"Cecil Shorts, WR","Cecil Shorts, WR, HOU"
2015,Chandler Worthy,HOU,WR,Chandler Worthy,00-0031932,C.Worthy,"Chandler Worthy, WR","Chandler Worthy, WR, HOU"
2015,Charcandrick West,KC,RB,Charcandrick West,00-0030668,C.West,"Charcandrick West, RB","Charcandrick West, RB, KC"
2015,Charles Clay,BUF,TE,Charles Clay,00-0028112,C.Clay,"Charles Clay, TE","Charles Clay, TE, BUF"
2015,Charles D. Johnson,MIN,WR,Charles D. Johnson,00-0030113,C.Johnson,"Charles D. Johnson, WR","Charles D. Johnson, WR, MIN"
2015,Charles Sims,TB,RB,Charles Sims,00-0031390,C.Sims,"Charles Sims, RB","Charles Sims, RB, TB"
2015,Charlie Whitehurst,IND,QB,Charlie Whitehurst,00-0024296,C.Whitehurst,"Charlie Whitehurst, QB","Charlie Whitehurst, QB, IND"
2015,Chase Coffman,SEA,TE,Chase Coffman,00-0027069,C.Coffman,"Chase Coffman, TE","Chase Coffman, TE, SEA"
2015,Chase Daniel,KC,QB,Chase Daniel,00-0026544,C.Daniel,"Chase Daniel, QB","Chase Daniel, QB, KC"
2015,Chris Conley,KC,WR,Chris Conley,00-0032128,C.Conley,"Chris Conley, WR","Chris Conley, WR, KC"
2015,Chris Givens,BAL,WR,Chris Givens,00-0029614,C.Givens,"Chris Givens, WR","Chris Givens, WR, BAL"
2015,Chris Gragg,BUF,TE,Chris Gragg,00-0030049,C.Gragg,"Chris Gragg, TE","Chris Gragg, TE, BUF"
2015,Chris Harper,NE,WR,Chris Harper,00-0031854,C.Harper,"Chris Harper, WR","Chris Harper, WR, NE"
2015,Chris Hogan,BUF,WR,Chris Hogan,00-0028237,C.Hogan,"Chris Hogan, WR","Chris Hogan, WR, BUF"
2015,Chris Ivory,NYJ,RB,Chris Ivory,00-0027531,C.Ivory,"Chris Ivory, RB","Chris Ivory, RB, NYJ"
2015,Chris Johnson,ARI,RB,Chris Johnson,00-0026164,C.Johnson,"Chris Johnson, RB","Chris Johnson, RB, ARI"
2015,Chris Matthews,BAL,WR,Chris Matthews,00-0028702,C.Matthews,"Chris Matthews, WR","Chris Matthews, WR, BAL"
2015,Chris Owusu,NYJ,WR,Chris Owusu,00-0028905,C.Owusu,"Chris Owusu, WR","Chris Owusu, WR, NYJ"
2015,Chris Polk,HOU,RB,Chris Polk,00-0029438,C.Polk,"Chris Polk, RB","Chris Polk, RB, HOU"
2015,Chris Thompson,WAS,RB,Chris Thompson,00-0030404,C.Thompson,"Chris Thompson, RB","Chris Thompson, RB, WAS"
2015,Christine Michael,SEA,RB,Christine Michael,00-0030432,C.Michael,"Christine Michael, RB","Christine Michael, RB, SEA"
2015,Cierre Wood,BUF,RB,Cierre Wood,00-0030248,C.Wood,"Cierre Wood, RB","Cierre Wood, RB, BUF"
2015,Clive Walford,OAK,TE,Clive Walford,00-0032256,C.Walford,"Clive Walford, TE","Clive Walford, TE, OAK"
2015,Coby Fleener,IND,TE,Coby Fleener,00-0029697,C.Fleener,"Coby Fleener, TE","Coby Fleener, TE, IND"
2015,Cody Latimer,DEN,WR,Cody Latimer,00-0031344,C.Latimer,"Cody Latimer, WR","Cody Latimer, WR, DEN"
2015,Cole Beasley,DAL,WR,Cole Beasley,00-0029000,C.Beasley,"Cole Beasley, WR","Cole Beasley, WR, DAL"
2015,Colin Kaepernick,SF,QB,Colin Kaepernick,00-0027974,C.Kaepernick,"Colin Kaepernick, QB","Colin Kaepernick, QB, SF"
2015,Colt McCoy,WAS,QB,Colt McCoy,00-0027688,C.McCoy,"Colt McCoy, QB","Colt McCoy, QB, WAS"
2015,Cooper Helfet,SEA,TE,Cooper Helfet,00-0029534,C.Helfet,"Cooper Helfet, TE","Cooper Helfet, TE, SEA"
2015,Cordarrelle Patterson,MIN,WR,Cordarrelle Patterson,00-0030578,C.Patterson,"Cordarrelle Patterson, WR","Cordarrelle Patterson, WR, MIN"
2015,Corey Brown,CAR,WR,Corey Brown,00-0031118,C.Brown,"Corey Brown, WR","Corey Brown, WR, CAR"
2015,Corey Fuller,DET,WR,Corey Fuller,00-0030095,C.Fuller,"Corey Fuller, WR","Corey Fuller, WR, DET"
2015,Craig Stevens,TEN,TE,Craig Stevens,00-0026225,C.Stevens,"Craig Stevens, TE","Craig Stevens, TE, TEN"
2015,Crockett Gillmore,BAL,TE,Crockett Gillmore,00-0030992,C.Gillmore,"Crockett Gillmore, TE","Crockett Gillmore, TE, BAL"
2015,Damien Williams,MIA,RB,Damien Williams,00-0030874,D.Williams,"Damien Williams, RB","Damien Williams, RB, MIA"
2015,Dan Herron,IND,RB,Dan Herron,00-0029588,D.Herron,"Dan Herron, RB","Dan Herron, RB, IND"
2015,Dan Orlovsky,DET,QB,Dan Orlovsky,00-0023578,D.Orlovsky,"Dan Orlovsky, QB","Dan Orlovsky, QB, DET"
2015,Daniel Brown,BAL,WR,Daniel Brown,00-0032098,D.Brown,"Daniel Brown, WR","Daniel Brown, WR, BAL"
2015,Daniel Fells,NYG,TE,Daniel Fells,00-0023752,D.Fells,"Daniel Fells, TE","Daniel Fells, TE, NYG"
2015,Danny Amendola,NE,WR,Danny Amendola,00-0026035,D.Amendola,"Danny Amendola, WR","Danny Amendola, WR, NE"
2015,Darius Jennings,CLE,WR,Darius Jennings,00-0031972,D.Jennings,"Darius Jennings, WR","Darius Jennings, WR, CLE"
2015,Darrel Young,WAS,FB,Darrel Young,00-0026852,D.Young,"Darrel Young, FB","Darrel Young, FB, WAS"
2015,Darren Fells,ARI,TE,Darren Fells,00-0029738,D.Fells,"Darren Fells, TE","Darren Fells, TE, ARI"
2015,Darren McFadden,DAL,RB,Darren McFadden,00-0026144,D.McFadden,"Darren McFadden, RB","Darren McFadden, RB, DAL"
2015,Darren Sproles,PHI,RB,Darren Sproles,00-0023564,D.Sproles,"Darren Sproles, RB","Darren Sproles, RB, PHI"
2015,Darren Waller,BAL,WR,Darren Waller,00-0031610,D.Waller,"Darren Waller, WR","Darren Waller, WR, BAL"
2015,Darrius Heyward-Bey,PIT,WR,Darrius Heyward-Bey,00-0026983,D.Heyward-Bey,"Darrius Heyward-Bey, WR","Darrius Heyward-Bey, WR, PIT"
2015,Davante Adams,GB,WR,Davante Adams,00-0031381,D.Adams,"Davante Adams, WR","Davante Adams, WR, GB"
2015,David Cobb,TEN,RB,David Cobb,00-0032133,D.Cobb,"David Cobb, RB","David Cobb, RB, TEN"
2015,David Johnson,ARI,RB,David Johnson,00-0032187,D.Johnson,"David Johnson, RB","David Johnson, RB, ARI"
2015,De'Anthony Thomas,KC,WR,De'Anthony Thomas,00-0031060,D.Thomas,"De'Anthony Thomas, WR","De'Anthony Thomas, WR, KC"
2015,DeAndre Hopkins,HOU,WR,DeAndre Hopkins,00-0030564,D.Hopkins,"DeAndre Hopkins, WR","DeAndre Hopkins, WR, HOU"
2015,DeAndrew White,SF,WR,DeAndrew White,00-0031511,D.White,"DeAndrew White, WR","DeAndrew White, WR, SF"
2015,DeAngelo Williams,PIT,RB,DeAngelo Williams,00-0024242,D.Williams,"DeAngelo Williams, RB","DeAngelo Williams, RB, PIT"
2015,Delanie Walker,TEN,TE,Delanie Walker,00-0024389,D.Walker,"Delanie Walker, TE","Delanie Walker, TE, TEN"
2015,DeMarco Murray,PHI,RB,DeMarco Murray,00-0028009,D.Murray,"DeMarco Murray, RB","DeMarco Murray, RB, PHI"
2015,Demaryius Thomas,DEN,WR,Demaryius Thomas,00-0027874,D.Thomas,"Demaryius Thomas, WR","Demaryius Thomas, WR, DEN"
2015,Demetrius Harris,KC,TE,Demetrius Harris,00-0030155,D.Harris,"Demetrius Harris, TE","Demetrius Harris, TE, KC"
2015,Deonte Thompson,CHI,WR,Deonte Thompson,00-0029388,D.Thompson,"Deonte Thompson, WR","Deonte Thompson, WR, CHI"
2015,Derek Anderson,CAR,QB,Derek Anderson,00-0023645,D.Anderson,"Derek Anderson, QB","Derek Anderson, QB, CAR"
2015,Derek Carr,OAK,QB,Derek Carr,00-0031280,D.Carr,"Derek Carr, QB","Derek Carr, QB, OAK"
2015,Derek Carrier,WAS,TE,Derek Carrier,00-0029119,D.Carrier,"Derek Carrier, TE","Derek Carrier, TE, WAS"
2015,Derrick Coleman,SEA,FB,Derrick Coleman,00-0029068,D.Coleman,"Derrick Coleman, FB","Derrick Coleman, FB, SEA"
2015,DeSean Jackson,WAS,WR,DeSean Jackson,00-0026189,D.Jackson,"DeSean Jackson, WR","DeSean Jackson, WR, WAS"
2015,DeVante Parker,MIA,WR,DeVante Parker,00-0031547,D.Parker,"DeVante Parker, WR","DeVante Parker, WR, MIA"
2015,Devin Funchess,CAR,WR,Devin Funchess,00-0032055,D.Funchess,"Devin Funchess, WR","Devin Funchess, WR, CAR"
2015,Devin Smith,NYJ,WR,Devin Smith,00-0031934,D.Smith,"Devin Smith, WR","Devin Smith, WR, NYJ"
2015,Devin Street,DAL,WR,Devin Street,00-0031310,D.Street,"Devin Street, WR","Devin Street, WR, DAL"
2015,Devonta Freeman,ATL,RB,Devonta Freeman,00-0031285,D.Freeman,"Devonta Freeman, RB","Devonta Freeman, RB, ATL"
2015,Dexter McCluster,TEN,RB,Dexter McCluster,00-0027651,D.McCluster,"Dexter McCluster, RB","Dexter McCluster, RB, TEN"
2015,Dez Bryant,DAL,WR,Dez Bryant,00-0027902,D.Bryant,"Dez Bryant, WR","Dez Bryant, WR, DAL"
2015,Dion Lewis,NE,RB,Dion Lewis,00-0028087,D.Lewis,"Dion Lewis, RB","Dion Lewis, RB, NE"
2015,Dion Sims,MIA,TE,Dion Sims,00-0030422,D.Sims,"Dion Sims, TE","Dion Sims, TE, MIA"
2015,Donte Moncrief,IND,WR,Donte Moncrief,00-0031339,D.Moncrief,"Donte Moncrief, WR","Donte Moncrief, WR, IND"
2015,Donteea Dye,TB,WR,Donteea Dye,00-0032008,D.Dye,"Donteea Dye, WR","Donteea Dye, WR, TB"
2015,Dorial Green-Beckham,TEN,WR,Dorial Green-Beckham,00-0032218,D.Green-Beckham,"Dorial Green-Beckham, WR","Dorial Green-Beckham, WR, TEN"
2015,Doug Baldwin,SEA,WR,Doug Baldwin,00-0028434,D.Baldwin,"Doug Baldwin, WR","Doug Baldwin, WR, SEA"
2015,Doug Martin,TB,RB,Doug Martin,00-0029613,D.Martin,"Doug Martin, RB","Doug Martin, RB, TB"
2015,Drew Brees,NO,QB,Drew Brees,00-0020531,D.Brees,"Drew Brees, QB","Drew Brees, QB, NO"
2015,Drew Stanton,ARI,QB,Drew Stanton,00-0025430,D.Stanton,"Drew Stanton, QB","Drew Stanton, QB, ARI"
2015,DuJuan Harris,SF,RB,DuJuan Harris,00-0028409,D.Harris,"DuJuan Harris, RB","DuJuan Harris, RB, SF"
2015,Duke Johnson,CLE,RB,Duke Johnson,00-0032257,D.Johnson,"Duke Johnson, RB","Duke Johnson, RB, CLE"
2015,Dwayne Allen,IND,TE,Dwayne Allen,00-0029689,D.Allen,"Dwayne Allen, TE","Dwayne Allen, TE, IND"
2015,Dwayne Bowe,CLE,WR,Dwayne Bowe,00-0025410,D.Bowe,"Dwayne Bowe, WR","Dwayne Bowe, WR, CLE"
2015,Dwayne Harris,NYG,WR,Dwayne Harris,00-0028114,D.Harris,"Dwayne Harris, WR","Dwayne Harris, WR, NYG"
2015,E.J. Bibbs,CLE,TE,E.J. Bibbs,00-0031968,E.Bibbs,"E.J. Bibbs, TE","E.J. Bibbs, TE, CLE"
2015,Ed Dickson,CAR,TE,Ed Dickson,00-0027675,E.Dickson,"Ed Dickson, TE","Ed Dickson, TE, CAR"
2015,Eddie Lacy,GB,RB,Eddie Lacy,00-0030485,E.Lacy,"Eddie Lacy, RB","Eddie Lacy, RB, GB"
2015,Eddie Royal,CHI,WR,Eddie Royal,00-0026182,E.Royal,"Eddie Royal, WR","Eddie Royal, WR, CHI"
2015,EJ Manuel,BUF,QB,EJ Manuel,00-0030526,E.Manuel,"EJ Manuel, QB","EJ Manuel, QB, BUF"
2015,Eli Manning,NYG,QB,Eli Manning,00-0022803,E.Manning,"Eli Manning, QB","Eli Manning, QB, NYG"
2015,Emmanuel Sanders,DEN,WR,Emmanuel Sanders,00-0027685,E.Sanders,"Emmanuel Sanders, WR","Emmanuel Sanders, WR, DEN"
2015,Eric Decker,NYJ,WR,Eric Decker,00-0027690,E.Decker,"Eric Decker, WR","Eric Decker, WR, NYJ"
2015,Eric Ebron,DET,TE,Eric Ebron,00-0031387,E.Ebron,"Eric Ebron, TE","Eric Ebron, TE, DET"
2015,Eric Weems,ATL,WR,Eric Weems,00-0024535,E.Weems,"Eric Weems, WR","Eric Weems, WR, ATL"
2015,Fitzgerald Toussaint,PIT,RB,Fitzgerald Toussaint,00-0031332,F.Toussaint,"Fitzgerald Toussaint, RB","Fitzgerald Toussaint, RB, PIT"
2015,Fozzy Whittaker,CAR,RB,Fozzy Whittaker,00-0029731,F.Whittaker,"Fozzy Whittaker, RB","Fozzy Whittaker, RB, CAR"
2015,Frank Gore,IND,RB,Frank Gore,00-0023500,F.Gore,"Frank Gore, RB","Frank Gore, RB, IND"
2015,Fred Jackson,SEA,RB,Fred Jackson,00-0024204,F.Jackson,"Fred Jackson, RB","Fred Jackson, RB, SEA"
2015,Garrett Celek,SF,TE,Garrett Celek,00-0028903,G.Celek,"Garrett Celek, TE","Garrett Celek, TE, SF"
2015,Garrett Graham,HOU,TE,Garrett Graham,00-0027718,G.Graham,"Garrett Graham, TE","Garrett Graham, TE, HOU"
2015,Gary Barnidge,CLE,TE,Gary Barnidge,00-0026281,G.Barnidge,"Gary Barnidge, TE","Gary Barnidge, TE, CLE"
2015,Gavin Escobar,DAL,TE,Gavin Escobar,00-0030544,G.Escobar,"Gavin Escobar, TE","Gavin Escobar, TE, DAL"
2015,Geno Smith,NYJ,QB,Geno Smith,00-0030565,G.Smith,"Geno Smith, QB","Geno Smith, QB, NYJ"
2015,Geoff Swaim,DAL,TE,Geoff Swaim,00-0032141,G.Swaim,"Geoff Swaim, TE","Geoff Swaim, TE, DAL"
2015,George Winn,DET,RB,George Winn,00-0030247,G.Winn,"George Winn, RB","George Winn, RB, DET"
2015,Geremy Davis,NYG,WR,Geremy Davis,00-0031953,G.Davis,"Geremy Davis, WR","Geremy Davis, WR, NYG"
2015,Giovani Bernard,CIN,RB,Giovani Bernard,00-0030456,G.Bernard,"Giovani Bernard, RB","Giovani Bernard, RB, CIN"
2015,Glenn Winston,CLE,RB,Glenn Winston,00-0031459,G.Winston,"Glenn Winston, RB","Glenn Winston, RB, CLE"
2015,Golden Tate,DET,WR,Golden Tate,00-0027891,G.Tate,"Golden Tate, WR","Golden Tate, WR, DET"
2015,Greg Jennings,MIA,WR,Greg Jennings,00-0024267,G.Jennings,"Greg Jennings, WR","Greg Jennings, WR, MIA"
2015,Greg Olsen,CAR,TE,Greg Olsen,00-0025418,G.Olsen,"Greg Olsen, TE","Greg Olsen, TE, CAR"
2015,Greg Salas,BUF,WR,Greg Salas,00-0028050,G.Salas,"Greg Salas, WR","Greg Salas, WR, BUF"
2015,Griff Whalen,IND,WR,Griff Whalen,00-0029033,G.Whalen,"Griff Whalen, WR","Griff Whalen, WR, IND"
2015,Hakeem Nicks,NYG,WR,Hakeem Nicks,00-0027005,H.Nicks,"Hakeem Nicks, WR","Hakeem Nicks, WR, NYG"
2015,Harry Douglas,TEN,WR,Harry Douglas,00-0026224,H.Douglas,"Harry Douglas, WR","Harry Douglas, WR, TEN"
2015,Heath Miller,PIT,TE,Heath Miller,00-0023465,H.Miller,"Heath Miller, TE","Heath Miller, TE, PIT"
2015,Isaiah Crowell,CLE,RB,Isaiah Crowell,00-0030656,I.Crowell,"Isaiah Crowell, RB","Isaiah Crowell, RB, CLE"
2015,J.J. Nelson,ARI,WR,J.J. Nelson,00-0032112,J.Nelson,"J.J. Nelson, WR","J.J. Nelson, WR, ARI"
2015,Jack Doyle,IND,TE,Jack Doyle,00-0030181,J.Doyle,"Jack Doyle, TE","Jack Doyle, TE, IND"
2015,Jacob Tamme,ATL,TE,Jacob Tamme,00-0026267,J.Tamme,"Jacob Tamme, TE","Jacob Tamme, TE, ATL"
